Week_Start_Date,Product,Sessions,PDP Add to Cart Units,Units Sold,FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Quarter_Start_Date,Data_Type,Product Code
2023-04-10,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,AirPods Max,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,AirPods Non Pro,0.0,0.0,0.0,0,0,1970-01-01,0,0
