FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,M09E3B/A,Series 6,9.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNFF3B/A,iPhone 13/mini/Pro/Pro Max,3084.0,434.0,168.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNFG3B/A,iPhone 13/mini/Pro/Pro Max,146.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNFH3B/A,iPhone 13/mini/Pro/Pro Max,72.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNGK3B/A,iPhone 13/mini/Pro/Pro Max,4570.0,687.0,227.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNGL3B/A,iPhone 13/mini/Pro/Pro Max,639.0,67.0,21.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNGM3B/A,iPhone 13/mini/Pro/Pro Max,157.0,8.0,1.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNHV3B/A,Series 8,619.0,64.0,14.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNJJ3B/A,Series 8,210.0,12.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNJM3B/A,Series 8,521.0,26.0,1.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNJP3B/A,Watch SE (2nd Gen),7.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNJT3B/A,Watch SE (2nd Gen),6992.0,818.0,292.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNK03B/A,Watch SE (2nd Gen),1818.0,195.0,54.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNK43B/A,Series 8,623.0,66.0,16.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNEQ3B/A,MacBook Pro,1252.0,142.0,31.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNKU3B/A,Series 8,234.0,18.0,1.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNP13B/A,Series 8,2332.0,254.0,65.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNP53B/A,Series 8,3681.0,410.0,107.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNP63B/A,Series 8,2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNPL3B/A,Watch SE (2nd Gen),809.0,84.0,26.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNPY3B/A,Watch SE (2nd Gen),540.0,54.0,19.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNWP3B/A,Connectivity Accessories,96.0,18.0,11.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MP6N3B/A,Series 8,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MP7Q3ZM/A,Watch Accessories,151.0,10.0,1.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MP753ZM/A,Watch Accessories,148.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MP863ZM/A,Watch Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPGK3ZM/A,Watch Accessories,2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPH43ZM/A,Watch Accessories,8.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPJ23ZM/A,Watch Accessories,3.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNKX3B/A,Series 8,378.0,26.0,3.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPLF3ZM/A,Watch Accessories,145.0,14.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MNEP3B/A,MacBook Pro,3015.0,287.0,59.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MN623ZM/A,iPhone Accessories,351.0,30.0,15.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM2Y3ZM/A,iPhone Accessories,102.0,9.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM6F3ZM/A,Mac Accessories & Display,37.0,4.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM6H3ZM/A,iPad Accessories,194.0,24.0,7.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM6R3B/A,iPad Mid,114.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM9E3B/A,iPad Mid,2924.0,318.0,70.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM9L3B/A,iPad Mid,1493.0,227.0,58.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM093ZM/A,Connectivity Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM173ZM/A,iPhone Accessories,41.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM193ZM/A,iPhone Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
